driverId,week,hours-logged,miles-logged
906,10,51,3700
939,51,64,1500
282,36,52,4000
543,17,77,1900
602,30,76,3700
787,27,51,2900
705,25,56,3100
252,7,55,3000
909,20,68,1600
464,45,67,2700
181,35,75,3900
45,15,62,2700
519,26,59,1300
563,50,66,200
218,16,73,400
293,20,57,2400
452,3,73,400
433,1,71,1700
852,6,79,1600
563,17,71,2800
290,32,51,2300
418,40,67,100
651,2,79,600
929,44,67,2300
772,9,61,2800
268,51,73,400
530,32,73,1500
567,47,50,600
432,7,75,1000
447,9,67,500
901,37,63,100
774,3,61,200
701,41,59,4000
885,9,52,4000
951,9,62,3600
181,28,51,600
402,52,66,1700
152,2,53,2500
575,35,80,1900
672,11,55,4000
33,17,62,2500
655,4,74,2900
66,19,54,2000
378,11,57,1100
235,8,50,800
482,48,66,2800
59,45,56,1700
611,46,73,600
552,47,80,1100
291,26,52,300
772,18,53,100
835,49,79,1900
493,19,69,2000
342,39,66,3300
772,6,57,2100
219,49,64,600
793,10,80,2300
268,40,58,3900
400,34,78,800
267,22,72,500
565,35,78,2800
520,5,67,1800
605,46,72,2700
411,50,70,2900
597,31,74,3500
580,31,79,1700
466,20,71,700
901,50,70,700
95,5,55,500
187,21,68,2700
190,26,62,600
497,37,73,100
720,44,73,2800
959,23,67,4000
822,34,52,3900
815,31,62,1100
235,28,69,4000
361,50,58,2900
76,37,73,1700
21,26,78,3000
739,13,61,0
654,47,78,1100
780,22,72,800
508,2,67,2000
536,6,71,3100
154,44,76,2300
73,3,78,3400
676,8,64,3500
813,12,64,700
841,22,73,2700
336,36,55,700
61,43,59,500
800,13,68,3700
999,23,77,3800
387,31,77,900
635,33,64,3100
345,51,59,2900
441,51,64,2100
49,39,62,2700
585,13,80,800
723,22,69,3100
216,34,53,2200
958,42,57,1000
334,49,66,800
11,50,68,3900
637,15,61,1500
410,10,56,800
310,34,70,1100
242,27,76,3700
539,46,53,3300
191,36,66,2400
685,42,76,600
802,51,79,3600
142,5,80,3800
539,13,53,2100
516,22,74,2200
237,5,60,2000
828,47,65,1900
357,40,61,800
825,34,76,1900
703,13,68,200
778,7,72,2700
219,39,59,1000
193,5,61,2400
568,9,75,2700
338,13,71,3300
894,44,56,300
279,50,68,800
811,20,51,2900
285,8,59,2900
723,13,72,1200
358,6,72,2500
990,15,52,2100
469,39,52,2600
814,9,56,2500
405,51,74,700
753,13,53,2700
1004,36,80,100
508,17,51,2800
184,37,67,2200
715,50,55,1700
48,15,76,2800
492,21,69,300
776,26,54,2700
691,48,70,900
634,3,68,400
993,9,51,3000
851,45,69,3900
496,52,69,2600
350,25,53,1000
605,21,74,3800
412,52,50,3000
565,46,58,2800
658,29,57,1900
455,35,55,1700
933,43,53,500
262,19,69,200
711,41,72,300
159,11,63,2900
91,18,61,3800
781,7,75,400
528,39,56,4000
383,38,57,3200
794,7,80,700
1007,12,72,1200
519,46,71,900
460,3,69,4000
812,51,78,3500
43,15,52,2400
653,23,64,1500
124,23,80,3500
74,22,75,1800
327,31,65,1600
598,42,78,2700
320,16,72,3900
837,1,78,2400
262,48,52,2800
617,32,55,2800
193,46,69,2700
599,9,56,500
203,22,64,3400
459,7,78,300
672,33,67,1400
833,35,65,2300
822,16,72,900
242,5,73,4000
923,26,54,3500
629,2,70,1000
115,4,58,2300
725,17,71,400
759,29,76,1700
606,29,52,900
109,26,70,3000
13,36,72,200
571,23,75,3400
265,11,79,3500
26,28,78,2500
125,38,52,700
814,14,54,1600
91,5,58,1700
869,34,60,400
203,2,62,1200
385,26,58,1100
805,4,50,1700
283,36,69,600
58,12,55,500
241,26,59,2600
800,15,51,2100
805,24,71,1900
17,13,59,2200
183,40,80,800
293,31,53,2300
799,52,78,600
377,52,61,100
907,36,71,0
702,10,58,1600
446,25,62,3400
955,50,74,2500
509,3,62,900
854,12,76,3400
16,38,78,300
971,51,61,3900
56,40,70,2400
694,13,63,3500
714,13,73,800
623,46,71,1600
215,16,50,800
585,6,80,1300
179,27,58,200
737,13,58,2600
294,6,68,3800
795,8,63,3300
859,26,66,3400
200,41,65,2500
211,24,60,700
22,1,69,3000
455,47,78,2800
648,51,72,1000
719,51,74,2200
285,22,68,1800
86,3,75,3300
308,28,63,1500
116,24,53,700
366,46,71,500
133,20,75,3100
732,23,73,2500
776,23,67,3100
842,7,69,1700
393,50,54,3200
384,39,62,1600
1007,31,75,1000
836,50,64,2000
507,44,66,3900
793,6,50,0
836,18,51,1600
615,24,64,2500
58,24,79,800
219,37,78,2800
856,26,61,3600
90,38,63,0
159,42,79,2200
476,25,68,900
692,3,73,1900
861,36,61,3200
409,8,64,1100
921,44,74,1700
301,23,76,1400
203,16,51,600
476,26,65,500
51,48,77,1800
655,24,56,1500
339,25,56,2100
407,29,68,600
407,18,65,2300
549,44,53,400
391,31,80,1300
603,49,79,1200
240,10,78,900
59,48,78,2200
324,21,66,1200
1004,7,55,3300
516,10,56,2100
432,36,79,2400
676,35,57,1100
373,43,69,3000
35,50,62,600
118,7,53,3800
685,5,51,1200
561,40,52,1000
479,39,77,400
790,41,56,4000
213,25,72,2700
150,52,53,2400
944,5,65,3600
270,26,79,0
614,51,57,1700
